country,state,lockdown_date,Note,relax_date
US,Puerto Rico,2020/03/16,Stay at home order,
US,Alabama,2020/04/04,Stay at home order,2020/04/30
US,Alaska,2020/03/28,Stay at home order,
US,Arizona,2020/03/30,Stay at home order,
US,California,2020/03/19,Stay at home order,
US,Colorado,2020/03/26,Stay at home order,2020/04/26
US,Connecticut,2020/03/23,Non essential services closed,
US,Delaware,2020/03/24,Stay at home order,
US,District of Columbia,2020/03/30,Stay at home order,
US,Florida,2020/04/03,Stay at home order,2020/05/04
US,Georgia,2020/04/03,Stay at home order,2020/04/30
US,Hawaii,2020/03/25,Stay at home order,
US,Idaho,2020/03/25,Stay at home order,2020/04/30
US,Illinois,2020/03/21,Stay at home order,
US,Indiana,2020/03/25,Stay at home order,2020/05/01
US,Iowa,2020/04/04,Educational facilities closed,
US,Kansas,2020/03/30,Stay at home order,2020/05/04
US,Kentucky,2020/03/26,Non essential services closed,
US,Louisiana,2020/03/23,Stay at home order,2020/05/15
US,Maine,2020/04/02,Stay at home order,2020/04/30
US,Maryland,2020/03/30,Stay at home order,2020/05/15
US,Massachusetts,2020/03/31,Non essential services closed,
US,Michigan,2020/03/24,Stay at home order,
US,Minnesota,2020/03/27,Stay at home order,
US,Mississippi,2020/04/03,Stay at home order,2020/04/27
US,Missouri,2020/04/06,Stay at home order,2020/05/03
US,Montana,2020/03/26,Stay at home order,2020/04/26
US,Nevada,2020/04/01,Stay at home order,
US,New Hampshire,2020/03/27,Stay at home order,
US,New Jersey,2020/03/21,Stay at home order,
US,New Mexico,2020/03/24,Non essential services closed,
US,New York,2020/03/22,Stay at home order,
US,North Carolina,2020/03/30,Stay at home order,
US,Ohio,2020/03/23,Stay at home order,
US,Oklahoma,2020/03/31,Non essential services closed,
US,Oregon,2020/03/23,Stay at home order,
US,Pennsylvania,2020/04/01,Stay at home order,
US,Rhode Island,2020/03/28,Stay at home order,
US,South Carolina,2020/04/07,Stay at home order,2020/05/04
US,Tennessee,2020/04/02,Stay at home order,2020/04/30
US,Texas,2020/04/02,Stay at home order,2020/04/30
US,Vermont,2020/03/24,Stay at home order,
US,Virginia,2020/03/30,Stay at home order,
US,Washington,2020/03/23,Stay at home order,
US,West Virginia,2020/03/25,Stay at home order,2020/05/04
US,Wisconsin,2020/03/25,Stay at home order,2020/04/30
US,Wyoming,2020/03/19,Educational facilities closed
